GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Jordanian Dinar,,
TAXBEV_TOTALTAXES,Total taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--total-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_AUTOADJUST,Automatic adjustment of specific excise on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--automatic-adjustment-of-specific-excise-on-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--import-duties-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,0.0,0,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,1.27,1.27,,
TAXBEV_EXCISE_APPLIED_YN,Excise taxes are applied on beverages,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--excise-taxes-are-applied-on-non-alcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Yes,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_TOTALTAXES,Total taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--total-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,23.37,23.37,,
TAXBEV_OTHERTAXES,Other taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--other-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,0.49,0.49,,
TAXBEV_VATSALES,Value-added/sales tax on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--value-added-sales-tax-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,13.79,13.79,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Ad valorem,,
TAXBEV_PRICE,Beverage price,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--beverage-price--nonalcoholic,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_OTHERTAXES,Other taxes on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--other-taxes-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,0.0,0,,
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--import-duties-on-nonalcoholic-beverages,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_SUGARBASEDTIERED,"If tiered on the beverage, the tiers are sugar-content-based",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--if-tiered-on-the-beverage--the-tiers-are-sugar-content-based,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,,Not applicable,,
TAXBEV_SUGARCONTENT,Sugar-content of beverage per 100ml,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--sugar-content-of-beverage-per-100ml,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_NONALCOHOLIC,Non-alcoholic,10.6,10.6,,
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tax--type-of-excise-tax-applied-on-non-alcoholic-beverage,2022,2022,2022,EMR,Eastern Mediterranean,JOR,Jordan,BEVERAGETYPE,BEVERAGETYPE_ALCOHOLIC,Alcoholic,,Data not available,,
